Clima,CedulaCultivos,UsoSuelo,POP,YearPop,Prefix,Branch,Name,Topology,Variable,ObjectType,Year Filter, TimeStep Filter, TagFilter, Stat ,Value,CatchmentImpact,DiversionName
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 8,Below Withdrawal Node 8,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.89496172738273,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza6 Runoff,Below Tupiza6 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.90581520345626,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Leajoya River Inflow,Below Leajoya River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.94449815009926,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 9,Below Withdrawal Node 9,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.93731375235789,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza7 Runoff,Below Tupiza7 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.9501079610812,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tutayaj River Inflow,Below Tutayaj River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.12642348519122,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 10,Below Withdrawal Node 10,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.11750160937455,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza8 Runoff,Below Tupiza8 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.13827106021367,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Sijsi River Inflow,Below Sijsi River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.1698280834781,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below TholarWaykho River Inflow,Below TholarWaykho River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.28115606092187,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 11,Below Withdrawal Node 11,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.2668481150929,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_SanJoaquin Runoff,Below R_SanJoaquin Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.33596739638755,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoSanJoaquin Outflow,Below RiegoSanJoaquin Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.55797400155958,D_OroIngenio,
